sl_key|value,static_label_category|value,feature_name|value,screen_list|value,sl_value_en|value,sl_value_ta|value,sl_value_hi|value,sl_value_as|value,sl_value_bn|value,sl_value_kn|value,sl_value_ml|value,sl_value_mr|value,sl_value_or|value,sl_value_te|value,sl_value_pa|value,sl_value_gu|value
lbl_pv_fi_additional_detail_screen_assisted_by_txt,"Vehicle Finance","Passenger vehicle",,"Are you assisted by a Mahindra executive?",,,,,,,,,,,
msg_date_cannot_be_in_future,"Vehicle Finance","Passenger vehicle",,"Date cannot be in the future",,,,,,,,,,,
pv_bank_stmts_1,"Vehicle Finance","Passenger vehicle","passenger vehicle offer discussion screen","submit your last 6 months' bank statements for verification",,,,,,,,,,,
lbl_pv_updated_loan_offer_mas_premimum,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance review screen",premium,,,,,,,,,,,
cta_pv_continue,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",Continue,,,,,,,,,,,
msg_verifying_details,"Vehicle Finance","Passenger vehicle","passenger vehicle_bre1 screen","Please wait, verifying details...",,,,,,,,,,,
lbl_pv_let_us_know_text,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Let us know about the car and dealer of your choice.",,,,,,,,,,,
pv_edit_loan_tenure,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","Edit Loan Amount & Tenure",,,,,,,,,,,
pv_lbl_insurance_name,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen",Name,,,,,,,,,,,
pv_funding_on_car,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","Funding on car",,,,,,,,,,,
lbl_pv_aadhaar_digilocker,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar",DigiLocker,,,,,,,,,,,
lbl_pv_fi_add_detail_screen_refree_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen",Refree,,,,,,,,,,,
lbl_default_err_msg,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","Error occurred while validating statement",,,,,,,,,,,
lbl_pv_fi_additional_detail_screen_btm_sheet_title,"Vehicle Finance","Passenger vehicle",,"Refree Details",,,,,,,,,,,
lbl_pv_document_ready_agent,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Please be ready with the documents listed below for our field agent:",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_doc_file_sub_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","No uploads",,,,,,,,,,,
lbl_pv_coapp_enter_valid_dob,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Please enter date of birth",,,,,,,,,,,
pv_life_insurance_bold_description,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Mahindra Loan Suraksha",,,,,,,,,,,
pv_emi_due_date_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","th of every month",,,,,,,,,,,
pv_offer_msg_1,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","This offer is valid till",,,,,,,,,,,
lbl_pv_plan_to_purchase,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Plan to purchase",,,,,,,,,,,
lbl_pv_coapp_pan_example,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Eg- AABCD4528R",,,,,,,,,,,
lbl_no_of_dependents,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen",Dependents,,,,,,,,,,,
pv_error_zero,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Should be greater than 0",,,,,,,,,,,
pv_total_exis_emis,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Monthly EMI Amount",,,,,,,,,,,
msg_liveliness_check_allow_location,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen",Location,,,,,,,,,,,
lbl_offfer_detail_screen_checkbox_read_more_text,"Vehicle Finance","Passenger vehicle",,"Read more",,,,,,,,,,,
lbl_pv_stepper_checkbox_pop_up_alert_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen",Disclaimer,,,,,,,,,,,
lbl_pv_pincode,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","PIN Code",,,,,,,,,,,
lbl_did_you_know_subtext1,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Adding co-applicant/guarantor is really",,,,,,,,,,,
pv_different_bank,"Vehicle Finance","Passenger vehicle",,"Select bank",,,,,,,,,,,
pv_gender_dlr,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review",Gender,,,,,,,,,,,
lbl_cta_continue,"Vehicle Finance","Passenger vehicle","passenger vehicle provisional sanction letter",Continue,,,,,,,,,,,
lbl_pv_edit_insurance_screen_mas_insurer4,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Insurer 4",,,,,,,,,,,
lbl_pv_err_req_loan_amt,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Required loan amount cannot be empty/zero",,,,,,,,,,,
lbl_pv_discount_validation,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Discount cannot be greater than Ex-Showroom Price",,,,,,,,,,,
lbl_pv_edit_insurance_screen_msl_title2,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","(Life insurance)",,,,,,,,,,,
lbl_pv_stepper_checkbox_text,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","I/We shall authorize and consent Mahindra & Mahindra Financial Services Limited...","நான்/நாங்கள் மஹிந்திரா & மஹிந்திரா பைனான்ஷியல் சர்வீசஸ் லிமிடெட் நிறுவனத்திற்கு அனுமதி மற்றும் ஒப்புதல் அளிக்கிறோம்…","मैं/हम महिंद्रा एंड महिंद्रा फाइनेंशियल सर्विसेज लिमिटेड को अधिकृत करता/करते हैं और सहमति प्रदान करता/करते हैं…","মই/আমି মহিন্দ্ৰা & মহিন্দ্ৰা ফাইনান্সিয়েল ছাৰ্ভিছেছ লিমিটেডক অনুমতি আৰু সম্মতি প্ৰদান কৰিম…
","আমি/আমরা মহিন্দ্রা অ্যান্ড মহিন্দ্রা ফাইন্যান্সিয়াল সার্ভিসেস লিমিটেডকে অনুমোদন ও সম্মতি প্রদান করছি…","ನಾನು/ನಾವು ಮಹೀಂದ್ರಾ & ಮಹೀಂದ್ರಾ ಫೈನಾನ್ಷಿಯಲ್ ಸರ್ವೀಸಸ್ ಲಿಮಿಟೆಡ್‌ಗೆ ಅನುಮತಿ ಮತ್ತು ಒಪ್ಪಿಗೆ ನೀಡುತ್ತೇವೆ…","ഞാൻ/ഞങ്ങൾ മഹീന്ദ്ര & മഹീന്ദ്ര ഫിനാൻഷ്യൽ സർവീസസ് ലിമിറ്റഡിന് അനുമതി നൽകുകയും സമ്മതിക്കുകയും ചെയ്യുന്നു…","मी/आम्ही महिंद्रा अँड महिंद्रा फायनान्शियल सर्व्हिसेस लिमिटेडला अधिकृत करतो/करतो आणि संमती देतो…","ମୁଁ/ଆମେ ମହିନ୍ଦ୍ରା ଏବଂ ମହିନ୍ଦ୍ରା ଫାଇନାନ୍ସିଆଲ୍ ସର୍ଭିସେସ୍ ଲିମିଟେଡ୍‌କୁ ଅନୁମୋଦନ ଏବଂ ସମ୍ମତି ଦେବୁ…","నేను/మేము మహీంద్రా & మహీంద్రా ఫైనాన్షియల్ సర్వీసెస్ లిమిటెడ్‌కు అనుమతి మరియు సమ్మతి ఇస్తాము…","ਮੈਂ/ਅਸੀਂ ਮਹਿੰਦਰਾ ਐਂਡ ਮਹਿੰਦਰਾ ਫਾਇਨੈਂਸ਼ਲ ਸਰਵਿਸਿਜ਼ ਲਿਮਿਟੇਡ ਨੂੰ ਅਧਿਕਾਰਿਤ ਕਰਾਂਗੇ ਅਤੇ ਸਹਿਮਤੀ ਦੇਵਾਂਗੇ…","હું/અમે મહિન્દ્રા એન્ડ મહિન્દ્રા ફાઇનાન્શિયલ સર્વિસિસ લિમિટેડને અધિકૃત કરીશ/કરીશું અને સંમતિ આપીશ/આપીશું…"
cta_pv_take_offline,"Vehicle Finance","Passenger vehicle","Passenger Vehicle_Digilocker_Retry Screen","Take me offline",,,,,,,,,,,
lbl_pv_edit_insurance_screen_mls_insurance_premium,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Insurance Premium",,,,,,,,,,,
pv_skip_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen",Skip,,,,,,,,,,,
lbl_liveliness_check_instruction2,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen","Ensure that your face is placed inside the frame",,,,,,,,,,,
pv_salary_slip_review_screen_sub_title,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","Your salary slip has been uploaded successfully. Our team is currently verifying your details and will keep you informed.
We appreciate your patience.",,,,,,,,,,,
lbl_pv_pan_details_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","Please add PAN details to avail your pre-approved offer",,,,,,,,,,,
lbl_pv_fi_thank_you_screen_title,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_thank_you_screen","Thank you",,,,,,,,,,,
lbl_pv_stepper_step_two_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Keep your proforma invoice handy, if available","உங்கள் ப்ரோஃபார்மா இன்வாய்ஸை, கிடைத்தால், எப்போதும் தயாராக வைத்திருங்கள்","यदि उपलब्ध हो तो अपनी प्रोफार्मा इनवॉइस तैयार रखें","যদি উপলব্ধ থাকে, আপোনাৰ প্ৰোফৰ্মা ইনভইচ হাতত ৰাখক","যদি পাওয়া যায় তবে আপনার প্রোফর্মা ইনভয়েস হাতের কাছে রাখুন"," ಲಭ್ಯವಿದ್ದರೆ ನಿಮ್ಮ ಪ್ರೊಫಾರ್ಮಾ ಇನ್ವಾಯ್ಸ್ ಅನ್ನು ಕೈಯಲ್ಲಿ ಇಟ್ಟುಕೊಳ್ಳಿ"," ലഭ്യമെങ്കിൽ നിങ്ങളുടെ പ്രൊഫോർമ ഇൻവോയ്സ് കൈയിൽ സൂക്ഷിക്കുക","उपलब्ध असल्यास तुमचे प्रोफार्मा इनव्हॉइस जवळ ठेवा","ଯଦି ଉପଲବ୍ଧ ଥାଏ, ଆପଣଙ୍କ ପ୍ରୋଫର୍ମା ଇନଭଏସ୍ ହାତରେ ରଖନ୍ତୁ","అందుబాటులో ఉంటే మీ ప్రొఫార్మా ఇన్వాయిస్ దగ్గర ఉంచుకోండి","ਜੇ ਉਪਲਬਧ ਹੋਵੇ ਤਾਂ ਆਪਣੀ ਪ੍ਰੋਫਾਰਮਾ ਇਨਵੌਇਸ ਹੱਥ ਵਿਚ ਰੱਖੋ","ઉપલબ્ધ હોય તો તમારી પ્રોફોર્મા ઇન્વૉઇસ હાથવગી રાખો"
pv_loan_amount,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","Loan amount & Tenure",,,,,,,,,,,
pv_lbl_nominee_details,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Nominee Details",,,,,,,,,,,
err_pv_lbl_insurance_same_name,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Nominee name should not be the same as the full name.",,,,,,,,,,,
lbl_pv_optional_text,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",(Optional),,,,,,,,,,,
lbl_pv_updated_loan_offer_tenure,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance review screen",Tenure,,,,,,,,,,,
cta_pv_try_again,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen","Try again",,,,,,,,,,,
pv_resume_later,"Vehicle Finance","Passenger vehicle","passenger vehicle - back screen","Resume later",,,,,,,,,,,
lbl_pv_updated_loan_offer_total_loan_amount,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance review screen","Total loan amount",,,,,,,,,,,
pv_fees_charges,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Fees & Charges",,,,,,,,,,,
lbl_pv_new_car_loan,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","New Car Loan","புதிய கார் கடன்","नई कार ऋण","নতুন গাড়ীৰ ঋণ","নতুন গাড়ী ঋণ","ಹೊಸ ಕಾರು ಸಾಲ","പുതിയ കാർ ലോൺ","नवीन कार कर्ज","ନୂତନ କାର loan ଣ","కొత్త కారు రుణం","ਨਵੀਂ ਕਾਰ ਲੋਨ","નવી કાર લોન"
lbl_co_applicant,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen",Co-applicant,,,,,,,,,,,
lbl_pv_edit_insurance_screen_mas_nominee,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen",Nominee,,,,,,,,,,,
lbl_offfer_detail_screen_checkbox_text,"Vehicle Finance","Passenger vehicle",,"I have read through and agree ...lorem ipsum lorem ipsum lorem ipsum",,,,,,,,,,,
lbl_pv_coapp_mobile_number,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Mobile Number",,,,,,,,,,,
pv_occupation_profession,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Occupation / Profession",,,,,,,,,,,
lbl_pv_vkyc_under_review_title,"Vehicle Finance","Passenger vehicle","pv thank you screen","VKYC Under Review",,,,,,,,,,,
msg_pv_communication_consent,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","You will need to submit documents against the address provided, such as:",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_exe_code_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Employee executive Code",,,,,,,,,,,
lbl_upload_bank_statement,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Bank Statements",,,,,,,,,,,
lbl_no_of_earning_members,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Earning members",,,,,,,,,,,
lbl_add_co_applicant_gurantor_info_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Co-applicant and primary applicant should reside in the same house.",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_dd_category_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen",Category,,,,,,,,,,,
pv_upload_docs,"Vehicle Finance","Passenger vehicle","passenger vehicle offer discussion screen","Upload Documents",,,,,,,,,,,
lbl_pv_city_dropdown,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",City,,,,,,,,,,,
lbl_pv_aadhaar_validation_retry_msg1,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","We are unable to validate Aadhaar. You have",,,,,,,,,,,
pv_lbl_relation_dropdown,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Relation with you",,,,,,,,,,,
err_pv_lbl_insurance_dob,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Nominee must be at least 18 years old.",,,,,,,,,,,
cta_pv_salary_slip_add_more,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","Add more",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_upload_doc_file_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Upload doc",,,,,,,,,,,
pv_eligibility_condition,"Vehicle Finance","Passenger vehicle","passenger vehicle offer discussion screen","You could be eligible for a higher loan amount, to check your eligibility, please provide:",,,,,,,,,,,
pv_mahindra_loan_suraksha,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Mahindra Loan Suraksha",,,,,,,,,,,
pv_tentative_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Tentative loan offer subject to document verification and back-end check",,,,,,,,,,,
lbl_pv_aadhaar_otp_proceed,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar",Proceed,,,,,,,,,,,
lbl_pv_updated_loan_offer_mls_premimum,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance review screen",premium,,,,,,,,,,,
lbl_pv_save,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen",Save,,,,,,,,,,,
lbl_pv_liveliness_step_msg,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check steps screen","You are a step away from generating your provisional acknowledgement Letter",,,,,,,,,,,
lbl_pv_place_face_frame,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen","Place your face in the frame",,,,,,,,,,,
cta_liveliness_check_open_app_settings,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen",Setings,,,,,,,,,,,
pv_mobile_number,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Mobile number",,,,,,,,,,,
pv_document_password,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","Document password (optional)",,,,,,,,,,,
lbl_pv_dealer,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",Dealer,,,,,,,,,,,
pv_add_coapp_guarantor,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Provide Co-applicant & Guarantor details",,,,,,,,,,,
pv_life_insurance,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Life insurance",,,,,,,,,,,
lbl_pv_stepper_overlay_step_two_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Car and Dealer Details",,,,,,,,,,,
pv_pending_disc,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Someone from our team will reach out to you for further discussions",,,,,,,,,,,
msg_pv_thankyou_talk_exec,"Vehicle Finance","Passenger vehicle","passenger vehicle thank you screen","We have submitted your request. Someone from our team will contact you to discuss the offer. Thank you for your patience.",,,,,,,,,,,
cta_pv_fi_thank_you_screen_view,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen",View,,,,,,,,,,,
pv_relationship,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review",Relationship,,,,,,,,,,,
pv_lbl_adult1,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Adult 1",,,,,,,,,,,
pv_extended_warranty,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Extended Warranty",,,,,,,,,,,
﻿lbl_lorem_ipsum,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Lorem Ipsum",,,,,,,,,,,
lbl_pv_make_model,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",Make/Model,,,,,,,,,,,
lbl_pv_Required_Loan_amount,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Required Loan Amount",,,,,,,,,,,
lbl_pv_aadhaar_didnot_receive,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Didn't receive OTP?",,,,,,,,,,,
pv_offer_msg,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","This offer is valid till 27th July 2024. Terms may vary subject to document verification",,,,,,,,,,,
pv_back_button_you_sure,"Vehicle Finance","Passenger vehicle","passenger vehicle - back screen","Are you sure?",,,,,,,,,,,
pv_plan_option_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Plan options",,,,,,,,,,,
lbl_requirements,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen",Requirements,,,,,,,,,,,
err_msg_enter_valid_dob,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","Please enter valid date of birth",,,,,,,,,,,
lbl_pv_progress_step_two_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Car & Dealer details",,,,,,,,,,,
cta_pv_retry,"Vehicle Finance","Passenger vehicle","Passenger Vehicle_Digilocker_Retry Screen",Retry,,,,,,,,,,,
pv_lbl_2adults_1child,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","2 Adults + 1 Child",,,,,,,,,,,
lbl_pv_drop_journey_msg,"Vehicle Finance","Passenger vehicle","Dropoff Journey","We are sorry, we will not be able to proceed with your application",,,,,,,,,,,
lbl_pl_vkyc_reference_video,"Vehicle Finance","Passenger vehicle",,"body text",,,,,,,,,,,
pv_permanent_address,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Permanent address",,,,,,,,,,,
msg_fetching_offer,"Vehicle Finance","Passenger vehicle","passenger vehicle_bre1 screen","Please wait, fetching the best offer...",,,,,,,,,,,
lbl_pv_vkyc_under_review_msg,"Vehicle Finance","Passenger vehicle","pv thank you screen","Thank you for completing your Video KYC. Our team is currently verifying your details and will keep you informed.
We appreciate your patience.",,,,,,,,,,,
lbl_pv_progress_step_three_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Your profile",,,,,,,,,,,
lbl_pv_progress_step_four_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Acknowledgement Letter ",,,,,,,,,,,
lbl_pv_aadhaar_resend_otp,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Resend OTP",,,,,,,,,,,
lbl_pv_rto_charges,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","RTO Charges",,,,,,,,,,,
pv_document_charges,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Document charges",,,,,,,,,,,
lbl_pv_edit_insurance_screen_mas_insurer3,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Insurer 3",,,,,,,,,,,
lbl_pv_passport,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen",Passport,,,,,,,,,,,
lbl_pv_fi_add_detail_screen_exe_code_valid_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Enter valid no.",,,,,,,,,,,
